,name,count,probability,cumulative_probability
2136,DOWLING,15581,0.00010495126609749235,0.09620571569000409
2135,STONER,15590,0.00010501188874012616,0.09631072757874422
2134,MOSHER,15595,0.00010504556798603384,0.09641577314673025
2133,JOINER,15595,0.00010504556798603384,0.09652081871471628
2132,PICKENS,15597,0.00010505903968439691,0.09662587775440068
2131,NUGENT,15599,0.00010507251138275998,0.09673095026578343
2130,SEPULVEDA,15611,0.00010515334157293839,0.09683610360735637
2129,WILLOUGHBY,15622,0.00010522743591393528,0.0969413310432703
2128,PRATHER,15631,0.00010528805855656908,0.09704661910182687
2127,LYLES,15632,0.00010529479440575063,0.09715191389623262
2126,BRANNON,15640,0.0001053486811992029,0.09725726257743182
2125,DUPREE,15647,0.00010539583214347364,0.0973626584095753
2124,HAUSER,15648,0.00010540256799265518,0.09746806097756795
2123,CHOW,15650,0.00010541603969101825,0.09757347701725896
2122,STJOHN,15663,0.00010550360573037819,0.09767898062298934
2121,REAGAN,15673,0.00010557096422219354,0.09778455158721153
2120,WETZEL,15674,0.00010557770007137508,0.0978901292872829
2119,CLEARY,15685,0.00010565179441237197,0.09799578108169527
2118,SCHWARZ,15713,0.00010584039818945494,0.09810162147988472
2117,CLINTON,15714,0.00010584713403863646,0.09820746861392335
2116,BURKHART,15718,0.0001058740774353626,0.09831334269135872
2115,WHITING,15719,0.00010588081328454414,0.09841922350464326
2114,FELTON,15734,0.00010598185102226716,0.09852520535566553
2113,HARE,15739,0.00010601553026817484,0.09863122088593371
2112,RANSOM,15754,0.00010611656800589786,0.0987373374539396
2111,DIETRICH,15761,0.0001061637189501686,0.09884350117288977
2110,MCNALLY,15768,0.00010621086989443935,0.09894971204278422
2109,OJEDA,15780,0.00010629170008461776,0.09905600374286884
2108,CALLOWAY,15784,0.0001063186434813439,0.09916232238635019
2107,FAUST,15799,0.00010641968121906691,0.09926874206756925
2106,MEANS,15808,0.00010648030386170073,0.09937522237143095
2105,BRENNER,15809,0.00010648703971088226,0.09948170941114183
2104,MATTSON,15825,0.00010659481329778683,0.09958830422443962
2103,SORENSON,15833,0.0001066487000912391,0.09969495292453086
